,Air Quality Health Index,Carbon Monoxide,Fine Particulate Matter,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Temperature,Ozone,Relative Humidity,Total Oxides of Nitrogen,Wind Direction,Wind Speed
29732,4.0,0.48,5.6,2.1,0.015,0.036,0.0,1.3,0.01,52.9,0.051,353.0,4.0
29733,3.0,0.31,3.4,0.0,0.001,0.015,0.0,0.8,0.028,51.9,0.016,305.0,7.0
29729,4.0,0.47,5.3,2.2,0.01,0.037,0.0,0.5,0.008,57.5,0.047,7.0,6.5
29730,3.0,0.33,3.3,0.0,0.0,0.014,0.0,0.4,0.027,52.7,0.014,297.0,7.7
29727,3.0,0.27,4.0,0.0,0.0,0.014,0.0,-0.1,0.025,53.2,0.014,310.0,7.7
29726,4.0,0.43,6.8,2.3,0.028,0.04,0.0,-1.7,0.004,77.0,0.068,32.0,2.7
29724,3.0,0.26,4.4,0.0,0.0,0.014,0.0,-0.6,0.024,53.7,0.014,303.0,7.9
29723,4.0,0.41,5.9,2.4,0.017,0.037,0.0,-2.8,0.003,82.9,0.054,204.0,1.5
29721,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29720,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29718,3.0,0.0,5.5,0.0,0.0,0.0,0.0,-2.1,0.0,53.7,0.0,312.0,7.1
29717,4.0,0.0,6.8,0.0,0.0,0.0,0.0,-3.5,0.0,83.5,0.0,329.0,1.9
29714,4.0,0.6,9.7,2.5,0.053,0.042,0.0,-4.4,0.003,99.9,0.094,324.0,0.8
29715,3.0,0.25,6.2,0.0,0.0,0.013,0.0,-2.6,0.023,54.4,0.013,305.0,7.8
29711,4.0,0.68,10.7,2.5,0.048,0.04,0.0,-4.2,0.003,99.9,0.089,0.0,0.0
29712,3.0,0.24,6.1,0.0,0.0,0.012,0.0,-2.7,0.024,54.6,0.012,311.0,6.3
29709,3.0,0.25,6.1,0.0,0.0,0.014,0.0,-2.8,0.022,55.7,0.014,313.0,7.0
29708,5.0,0.74,12.0,2.5,0.044,0.042,0.0,-4.0,0.003,93.0,0.086,282.0,1.1
29706,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29705,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29702,5.0,1.46,24.7,3.1,0.106,0.046,0.0,-3.5,0.004,100.0,0.152,341.0,0.4
29703,4.0,0.34,8.8,0.0,0.001,0.029,0.0,-3.0,0.009,63.2,0.03,305.0,4.3
29700,4.0,0.41,12.1,0.0,0.003,0.032,0.0,-2.9,0.007,65.2,0.036,303.0,3.9
29699,5.0,1.45,22.8,2.9,0.107,0.047,0.0,-2.8,0.004,90.8,0.154,0.0,0.0
29697,4.0,0.44,13.3,0.0,0.003,0.035,0.0,-2.4,0.005,64.2,0.038,311.0,3.1
29696,5.0,1.15,20.6,2.4,0.076,0.044,0.0,-2.1,0.003,83.1,0.12,0.0,0.0
29693,4.0,0.86,19.1,2.4,0.046,0.044,0.0,-1.0,0.003,66.9,0.091,0.0,0.0
29694,4.0,0.62,18.6,0.0,0.011,0.041,0.0,-1.9,0.002,65.9,0.051,295.0,3.0
29690,4.0,0.57,13.6,2.3,0.021,0.04,0.0,0.1,0.003,62.0,0.061,169.0,1.6
29691,4.0,0.48,11.6,0.0,0.002,0.032,0.0,-0.1,0.009,57.8,0.035,301.0,2.6
29688,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29687,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29685,3.0,0.44,11.4,0.0,0.008,0.023,0.0,4.2,0.019,40.3,0.031,243.0,1.8
29684,4.0,0.49,13.2,2.2,0.01,0.03,0.0,3.2,0.017,45.0,0.04,0.0,0.0
29681,4.0,0.54,18.2,2.2,0.017,0.028,0.0,3.5,0.017,44.9,0.045,205.0,4.6
29682,3.0,0.33,7.8,0.0,0.005,0.016,0.0,5.1,0.027,34.8,0.022,227.0,1.9
29679,3.0,0.3,7.5,0.0,0.004,0.011,0.0,5.2,0.032,32.8,0.015,203.0,1.9
29678,3.0,0.45,14.2,2.2,0.016,0.024,0.0,5.2,0.022,35.2,0.04,188.0,2.6
29676,3.0,0.29,6.7,0.0,0.003,0.007,0.0,3.8,0.035,34.4,0.01,296.0,3.7
29675,3.0,0.4,9.3,2.2,0.01,0.018,0.0,5.4,0.028,35.1,0.028,143.0,1.9
29672,3.0,0.31,5.2,2.1,0.004,0.009,0.0,5.1,0.036,30.4,0.013,330.0,8.3
29673,3.0,0.25,6.5,0.0,0.003,0.007,0.0,2.9,0.034,35.1,0.009,296.0,8.3
29670,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29669,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29667,3.0,0.29,6.2,0.0,0.002,0.009,0.0,-0.2,0.031,40.9,0.01,301.0,9.7
29666,3.0,0.29,4.3,2.1,0.002,0.011,0.0,2.2,0.034,36.3,0.013,340.0,13.1
29663,3.0,0.29,3.2,2.1,0.001,0.015,0.0,1.3,0.03,35.9,0.016,5.0,4.5
29664,3.0,0.28,5.0,0.0,0.0,0.01,0.0,-1.2,0.029,41.9,0.01,300.0,9.8
29661,3.0,0.26,4.4,0.0,0.0,0.01,0.0,-1.5,0.028,41.4,0.01,294.0,11.4
29660,3.0,0.27,3.0,2.1,0.0,0.011,0.0,0.6,0.033,36.1,0.011,35.0,4.0
29658,3.0,0.28,4.1,0.0,0.0,0.009,0.0,-1.9,0.03,40.8,0.009,301.0,10.0
29657,3.0,0.27,2.5,2.1,0.0,0.014,0.0,0.4,0.031,33.5,0.014,40.0,2.1
29655,3.0,0.24,3.7,0.0,0.0,0.011,0.0,-2.4,0.028,40.4,0.011,306.0,7.9
29654,3.0,0.27,2.5,2.1,0.0,0.013,0.0,-0.4,0.031,32.4,0.013,9.0,4.1
29651,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29652,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29648,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29649,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29646,2.0,0.23,3.2,0.0,0.0,0.009,0.0,-3.0,0.028,40.5,0.009,314.0,8.5
29645,3.0,0.28,2.4,2.1,0.0,0.015,0.0,-1.1,0.029,32.3,0.015,328.0,7.0
29643,3.0,0.24,3.0,0.0,0.0,0.009,0.0,-2.3,0.03,38.6,0.009,310.0,8.4
29642,4.0,0.29,2.7,2.1,0.004,0.026,0.0,-1.2,0.02,33.3,0.03,329.0,4.1
29639,4.0,0.35,4.7,2.2,0.009,0.036,0.0,-2.3,0.01,42.6,0.045,255.0,0.6
29640,3.0,0.24,3.1,0.0,0.0,0.011,0.0,-2.1,0.028,38.2,0.011,306.0,10.0
29637,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29636,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29634,3.0,0.28,4.6,0.0,0.0,0.012,0.0,-1.4,0.028,37.5,0.012,300.0,9.1
29633,3.0,0.33,5.0,2.2,0.004,0.029,0.0,-1.9,0.015,39.0,0.032,262.0,2.8
29631,3.0,0.26,4.2,0.0,0.0,0.013,0.0,-1.0,0.028,37.0,0.013,303.0,7.6
29630,3.0,0.33,5.6,2.2,0.0,0.018,0.0,-0.8,0.025,37.0,0.018,335.0,3.3
29627,3.0,0.32,4.4,2.1,0.0,0.016,0.0,0.8,0.029,34.4,0.016,341.0,11.4
29628,3.0,0.25,4.8,0.0,0.0,0.013,0.0,-0.9,0.028,37.7,0.012,316.0,7.3
29625,3.0,0.26,4.4,0.0,0.0,0.012,0.0,-0.1,0.03,36.2,0.012,309.0,8.8
29624,3.0,0.3,4.0,2.1,0.0,0.018,0.0,2.8,0.03,27.0,0.017,334.0,5.8
29622,3.0,0.26,3.5,0.0,0.0,0.011,0.0,0.8,0.031,34.5,0.011,307.0,8.9
29621,3.0,0.29,3.7,2.1,0.001,0.025,0.0,4.0,0.025,24.0,0.026,313.0,12.3
29618,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29619,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29616,3.0,0.25,4.3,0.0,0.002,0.008,0.0,4.2,0.034,29.0,0.01,295.0,10.5
29615,3.0,0.3,4.1,2.1,0.005,0.019,0.0,6.2,0.03,22.5,0.024,315.0,12.1
29613,3.0,0.22,4.0,0.0,0.002,0.006,0.0,4.6,0.036,27.0,0.008,296.0,12.1
29612,3.0,0.29,4.6,2.1,0.006,0.014,0.0,6.2,0.034,22.5,0.021,309.0,11.3
29610,3.0,0.23,4.3,0.0,0.003,0.007,0.0,3.6,0.035,28.1,0.009,299.0,12.9
29609,3.0,0.28,4.7,2.1,0.008,0.014,0.0,5.6,0.033,23.0,0.022,310.0,9.7
29606,3.0,0.29,4.6,2.1,0.01,0.016,0.0,4.7,0.032,23.4,0.025,307.0,7.2
29607,2.0,0.23,4.0,0.0,0.003,0.006,0.0,2.4,0.036,29.4,0.008,294.0,11.4
29603,3.0,0.29,4.3,2.1,0.01,0.015,0.0,4.0,0.032,23.1,0.024,314.0,4.9
29604,2.0,0.22,3.7,0.0,0.002,0.005,0.0,1.4,0.036,29.5,0.007,290.0,12.0
29601,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29600,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29598,2.0,0.21,3.3,0.0,0.001,0.006,0.0,-1.9,0.033,33.6,0.007,304.0,13.7
29597,3.0,0.26,3.1,2.1,0.003,0.01,0.0,-0.7,0.033,32.0,0.013,345.0,13.6
29595,2.0,0.21,3.0,0.0,0.001,0.01,0.0,-4.1,0.029,39.7,0.01,304.0,9.9
29594,4.0,0.32,3.8,2.1,0.017,0.028,0.0,-5.2,0.017,48.6,0.045,327.0,8.3
29592,2.0,0.21,3.0,0.0,0.0,0.011,0.0,-5.8,0.026,44.9,0.011,308.0,9.1
29591,4.0,0.42,7.0,2.3,0.06,0.045,0.0,-9.4,0.003,91.9,0.105,0.0,0.0
29588,4.0,0.41,12.3,2.4,0.036,0.038,0.0,-10.8,0.003,99.9,0.074,0.0,0.0
29589,2.0,0.22,2.2,0.0,0.0,0.014,0.0,-7.4,0.023,49.8,0.014,303.0,8.6
29585,4.0,0.41,8.1,2.4,0.049,0.041,0.0,-11.4,0.003,99.7,0.09,0.0,0.0
29586,2.0,0.21,2.3,0.0,0.0,0.016,0.0,-8.8,0.018,53.5,0.016,308.0,7.6
29583,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29582,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,83.7,0.0,0.0,0.0
29580,2.0,0.0,2.8,0.0,0.0,0.0,0.0,-10.4,0.0,60.4,0.0,311.0,8.2
29579,4.0,0.0,8.8,0.0,0.0,0.0,0.0,-11.7,0.0,84.0,0.0,312.0,1.9
29576,4.0,0.35,9.5,2.5,0.014,0.035,0.0,-11.0,0.003,77.6,0.05,208.0,3.1
29577,2.0,0.21,3.4,0.0,0.0,0.015,0.0,-10.5,0.017,61.3,0.016,311.0,7.0
29574,3.0,0.21,4.5,0.0,0.0,0.016,0.0,-10.4,0.017,60.8,0.016,324.0,7.1
29573,4.0,0.41,11.8,2.4,0.027,0.038,0.0,-10.2,0.003,76.5,0.064,193.0,2.9
29571,3.0,0.21,7.1,0.0,0.0,0.017,0.0,-9.9,0.016,59.4,0.017,319.0,8.2
29570,4.0,0.35,8.7,2.3,0.005,0.033,0.0,-9.0,0.004,71.7,0.038,356.0,1.8
29567,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29568,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29564,4.0,0.47,8.0,2.2,0.024,0.041,0.0,-6.7,0.003,54.8,0.065,0.0,0.0
29565,3.0,0.27,5.3,0.0,0.0,0.023,0.0,-8.0,0.013,51.2,0.023,295.0,8.6
29562,3.0,0.23,4.0,0.0,0.0,0.022,0.0,-7.2,0.014,47.2,0.023,313.0,7.5
29561,4.0,0.57,9.1,2.2,0.03,0.041,0.0,-6.3,0.004,60.0,0.072,0.0,0.0
29559,4.0,0.28,5.4,0.0,0.0,0.021,0.0,-5.8,0.017,42.9,0.021,304.0,9.0
29558,5.0,0.62,9.8,2.2,0.034,0.044,0.0,-5.5,0.003,49.7,0.078,216.0,2.1
29555,4.0,0.77,12.4,2.3,0.046,0.048,0.0,-4.0,0.003,39.8,0.094,303.0,2.4
29556,4.0,0.45,8.4,0.0,0.008,0.036,0.0,-4.4,0.007,40.8,0.044,307.0,5.3
29553,3.0,0.61,13.3,0.0,0.023,0.043,0.0,-3.3,0.001,40.2,0.066,288.0,2.4
29552,4.0,0.67,13.6,2.2,0.016,0.044,0.0,-2.4,0.003,30.2,0.06,0.0,0.0
29550,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29549,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29547,3.0,0.22,2.0,0.0,0.003,0.011,0.0,1.7,0.032,20.4,0.015,324.0,6.8
29546,3.0,0.23,0.0,2.1,0.003,0.009,0.0,1.4,0.038,19.3,0.011,344.0,13.2
29543,3.0,0.24,0.3,2.1,0.003,0.009,0.0,1.5,0.038,19.4,0.012,348.0,15.0
29544,2.0,0.23,2.1,0.0,0.006,0.011,0.0,1.3,0.03,25.4,0.017,296.0,5.9
29540,3.0,0.24,0.4,2.1,0.003,0.007,0.0,1.1,0.039,20.5,0.01,328.0,17.2
29541,2.0,0.2,1.2,0.0,0.003,0.005,0.0,0.0,0.035,26.0,0.008,309.0,9.6
29538,2.0,0.22,2.2,0.0,0.004,0.007,0.0,-1.8,0.033,30.1,0.011,297.0,11.0
29537,3.0,0.24,1.0,2.1,0.005,0.009,0.0,0.8,0.038,19.5,0.014,317.0,17.7
29535,2.0,0.22,1.7,0.0,0.004,0.007,0.0,-2.7,0.033,30.7,0.011,291.0,10.2
29534,3.0,0.24,0.5,2.1,0.005,0.008,0.0,-0.2,0.039,20.9,0.012,330.0,17.3
29532,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29531,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29529,2.0,0.24,1.5,0.0,0.004,0.012,0.0,-7.1,0.027,39.3,0.016,293.0,9.9
29528,3.0,0.3,2.0,2.1,0.007,0.017,0.0,-4.9,0.026,30.5,0.024,318.0,14.8
29525,3.0,0.27,0.6,2.1,0.001,0.014,0.0,-5.8,0.028,30.7,0.015,323.0,17.0
29526,2.0,0.24,1.2,0.0,0.002,0.013,0.0,-8.8,0.024,43.4,0.015,298.0,8.2
29522,3.0,0.27,0.6,2.1,0.001,0.016,0.0,-6.3,0.025,31.8,0.017,318.0,15.3
29523,2.0,0.21,0.8,0.0,0.0,0.011,0.0,-8.6,0.026,41.7,0.011,288.0,11.7
29520,2.0,0.2,0.7,0.0,0.0,0.01,0.0,-9.0,0.026,43.6,0.01,295.0,10.8
29519,3.0,0.27,0.6,2.1,0.001,0.022,0.0,-7.0,0.019,33.8,0.023,307.0,9.8
29517,2.0,0.19,0.6,0.0,0.0,0.009,0.0,-8.9,0.027,43.2,0.008,300.0,11.6
29516,3.0,0.26,0.3,2.1,0.0,0.021,0.0,-7.3,0.019,35.7,0.022,302.0,6.6
29513,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29514,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29511,2.0,0.0,0.7,0.0,0.0,0.0,0.0,-8.5,0.0,42.4,0.0,297.0,11.1
29510,3.0,0.0,0.3,0.0,0.0,0.0,0.0,-7.5,0.0,37.3,0.0,323.0,5.0
29508,2.0,0.19,0.8,0.0,0.0,0.008,0.0,-8.7,0.026,43.7,0.008,299.0,10.0
29507,3.0,0.25,0.3,2.1,0.0,0.021,0.0,-7.0,0.019,34.9,0.021,320.0,6.0
29505,2.0,0.19,1.1,0.0,0.0,0.011,0.0,-8.5,0.024,43.7,0.011,297.0,9.9
29504,3.0,0.25,0.8,2.1,0.0,0.02,0.0,-6.7,0.019,35.2,0.02,326.0,8.7
29501,3.0,0.26,1.2,2.1,0.001,0.023,0.0,-6.0,0.017,32.7,0.024,319.0,10.7
29502,2.0,0.21,1.3,0.0,0.0,0.013,0.0,-8.4,0.022,44.7,0.013,306.0,7.0
29499,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29498,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29496,3.0,0.25,2.6,0.0,0.0,0.018,0.0,-10.1,0.016,46.8,0.018,310.0,6.9
29495,4.0,0.41,8.1,2.2,0.026,0.042,0.0,-9.0,0.003,41.6,0.068,0.0,0.0
29493,3.0,0.24,1.6,0.0,0.0,0.013,0.0,-10.0,0.023,40.5,0.013,320.0,6.1
29492,4.0,0.38,6.7,2.2,0.007,0.038,0.0,-8.7,0.006,36.3,0.045,0.0,0.0
29489,3.0,0.36,6.5,2.2,0.002,0.034,0.0,-9.6,0.007,40.8,0.036,223.0,2.7
29490,3.0,0.29,3.0,0.0,0.001,0.021,0.0,-9.4,0.017,38.2,0.022,313.0,6.1
29487,3.0,0.36,6.4,0.0,0.002,0.027,0.0,-9.3,0.013,33.7,0.029,291.0,1.7
29486,3.0,0.36,3.9,2.3,0.001,0.032,0.0,-9.5,0.01,35.5,0.032,187.0,3.3
29484,2.0,0.24,1.7,0.0,0.0,0.013,0.0,-8.2,0.025,27.0,0.013,203.0,4.4
29483,3.0,0.31,2.2,2.2,0.0,0.022,0.0,-9.0,0.019,33.6,0.022,181.0,4.4
29481,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29480,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29477,3.0,0.23,0.8,2.1,0.003,0.011,0.0,-7.5,0.029,31.3,0.014,208.0,7.7
29478,2.0,0.24,1.5,0.0,0.004,0.012,0.0,-6.9,0.027,29.4,0.015,194.0,7.3
29474,3.0,0.27,4.3,2.2,0.009,0.015,0.0,-6.4,0.025,30.7,0.024,186.0,8.2
29475,2.0,0.24,2.2,0.0,0.006,0.011,0.0,-5.8,0.027,25.5,0.017,170.0,6.5
29472,2.0,0.23,2.9,0.0,0.01,0.011,0.0,-6.2,0.025,33.9,0.021,274.0,1.8
29471,3.0,0.29,4.9,2.1,0.013,0.014,0.0,-6.4,0.026,27.7,0.027,185.0,5.6
29469,2.0,0.22,2.7,0.0,0.008,0.008,0.0,-8.3,0.026,39.1,0.017,283.0,5.2
29468,3.0,0.28,4.0,2.1,0.017,0.017,0.0,-5.8,0.025,28.4,0.034,191.0,1.0
29466,2.0,0.24,4.8,0.0,0.012,0.011,0.0,-10.0,0.023,45.7,0.024,265.0,6.5
29465,3.0,0.29,5.2,2.1,0.019,0.017,0.0,-7.6,0.023,36.2,0.035,260.0,3.2
29463,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29462,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29459,3.0,0.3,2.3,2.2,0.01,0.017,0.0,-9.9,0.023,52.1,0.027,334.0,10.4
29460,2.0,0.24,7.7,0.0,0.013,0.017,0.0,-13.5,0.016,61.0,0.03,303.0,10.4
29456,2.0,0.35,1.6,2.1,0.007,0.023,0.0,-11.1,0.016,64.5,0.029,346.0,11.5
29457,2.0,0.25,6.3,0.0,0.004,0.017,0.0,-14.0,0.016,64.4,0.022,298.0,8.2
29454,2.0,0.2,0.7,0.0,0.0,0.007,0.0,-11.9,0.029,56.3,0.007,315.0,11.0
29453,2.0,0.26,0.4,2.1,0.0,0.012,0.0,-10.9,0.026,69.1,0.012,345.0,13.6
29451,2.0,0.2,0.2,0.0,0.0,0.006,0.0,-11.4,0.03,59.4,0.006,298.0,9.5
29450,2.0,0.23,0.1,2.1,0.0,0.006,0.0,-10.8,0.03,73.1,0.006,341.0,17.8
29447,2.0,0.22,0.0,2.1,0.0,0.005,0.0,-10.9,0.031,75.2,0.005,333.0,16.8
