,Air Quality Health Index,Carbon Monoxide,Fine Particulate Matter,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Temperature,Ozone,Relative Humidity,Total Oxides of Nitrogen,Wind Direction,Wind Speed
29448,2.0,0.18,0.3,0.0,0.0,0.006,0.0,-10.9,0.03,64.7,0.006,305.0,10.7
29445,2.0,0.17,0.2,0.0,0.0,0.003,0.0,-10.6,0.033,67.0,0.003,323.0,10.3
29444,2.0,0.21,0.0,2.1,0.0,0.006,0.0,-10.7,0.031,76.8,0.005,336.0,12.8
29442,2.0,0.0,0.1,0.0,0.0,0.0,0.0,-10.1,0.0,67.3,0.0,322.0,11.4
29441,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1,0.0,77.3,0.0,334.0,16.9
29438,2.0,0.2,0.0,2.1,0.0,0.003,0.0,-9.3,0.034,72.4,0.003,341.0,24.2
29439,2.0,0.17,0.1,0.0,0.0,0.002,0.0,-9.6,0.033,66.3,0.003,342.0,16.8
29435,2.0,0.2,0.0,2.1,0.0,0.003,0.0,-8.4,0.035,67.6,0.003,344.0,25.9
29436,2.0,0.17,0.0,0.0,0.0,0.002,0.0,-9.0,0.033,65.9,0.003,352.0,17.1
29433,2.0,0.17,0.0,0.0,0.0,0.002,0.0,-8.4,0.034,64.3,0.002,352.0,18.1
29432,2.0,0.2,0.0,2.1,0.0,0.002,0.0,-7.4,0.036,62.2,0.002,356.0,29.5
29430,2.0,0.17,0.0,0.0,0.0,0.002,0.0,-6.7,0.035,61.2,0.002,353.0,20.8
29429,2.0,0.21,0.0,2.1,0.0,0.003,0.0,-6.1,0.036,63.2,0.002,349.0,31.2
29426,2.0,0.23,0.0,2.1,0.0,0.004,0.0,-5.8,0.033,68.4,0.004,349.0,27.8
29427,2.0,0.17,0.1,0.0,0.0,0.002,0.0,-6.0,0.035,60.6,0.002,345.0,22.9
29424,2.0,0.17,0.0,0.0,0.0,0.002,0.0,-5.6,0.034,60.3,0.003,343.0,21.7
29423,2.0,0.24,0.0,2.1,0.0,0.005,0.0,-5.2,0.032,67.6,0.005,354.0,23.4
29421,2.0,0.18,0.0,0.0,0.0,0.002,0.0,-4.8,0.033,62.4,0.003,342.0,24.6
29420,2.0,0.25,0.0,2.1,0.0,0.005,0.0,-4.6,0.031,73.5,0.005,350.0,25.3
29417,2.0,0.25,0.0,2.1,0.0,0.005,0.0,-4.5,0.032,71.3,0.005,360.0,24.3
29418,2.0,0.2,0.0,0.0,0.0,0.004,0.0,-4.7,0.031,66.7,0.004,352.0,17.9
29415,2.0,0.2,0.1,0.0,0.0,0.003,0.0,-3.9,0.031,66.9,0.003,354.0,20.8
29414,2.0,0.24,0.0,2.1,0.0,0.005,0.0,-3.6,0.032,67.7,0.005,2.0,28.1
29412,2.0,0.2,0.0,0.0,0.001,0.004,0.0,-2.7,0.032,62.1,0.004,352.0,19.1
29411,2.0,0.26,0.0,2.1,0.001,0.007,0.0,-2.4,0.031,69.9,0.008,356.0,26.2
29408,2.0,0.27,0.0,2.1,0.002,0.007,0.0,-1.6,0.031,72.1,0.009,350.0,23.7
29409,2.0,0.19,0.0,0.0,0.001,0.003,0.0,-2.0,0.033,62.8,0.004,348.0,20.7
29406,2.0,0.18,0.0,0.0,0.001,0.002,0.0,-1.4,0.035,60.2,0.003,343.0,21.0
29405,2.0,0.25,0.0,2.1,0.001,0.004,0.0,-1.1,0.035,66.8,0.005,350.0,28.2
29403,2.0,0.17,0.1,0.0,0.001,0.002,0.0,-1.2,0.036,65.3,0.003,343.0,21.8
29402,2.0,0.24,0.0,2.1,0.001,0.003,0.0,-0.9,0.037,73.2,0.003,347.0,30.2
29400,2.0,0.18,0.0,0.0,0.001,0.002,0.0,-1.3,0.036,69.1,0.003,349.0,20.2
29399,2.0,0.24,0.0,2.1,0.001,0.004,0.0,-1.0,0.036,78.6,0.005,349.0,27.8
29396,2.0,0.26,0.0,2.1,0.003,0.006,0.0,-0.5,0.034,71.9,0.009,353.0,26.1
29397,2.0,0.19,0.1,0.0,0.001,0.002,0.0,-1.0,0.036,68.1,0.003,355.0,20.1
29393,2.0,0.25,0.0,2.1,0.001,0.004,0.0,-0.1,0.035,96.3,0.005,343.0,25.0
29394,2.0,0.19,0.7,0.0,0.001,0.003,0.0,-0.4,0.035,71.2,0.004,348.0,21.7
29391,2.0,0.2,1.4,0.0,0.001,0.004,0.0,-0.4,0.033,78.0,0.004,338.0,16.8
29390,2.0,0.27,1.3,2.1,0.001,0.006,0.0,-0.2,0.032,99.9,0.007,340.0,18.6
29388,3.0,0.21,1.6,0.0,0.0,0.005,0.0,-0.6,0.033,81.0,0.005,337.0,12.7
29387,3.0,0.29,1.5,2.1,0.0,0.01,0.0,-0.3,0.03,99.5,0.01,339.0,19.1
29384,3.0,0.28,2.5,2.1,0.0,0.013,0.0,0.1,0.027,77.3,0.013,351.0,16.9
29385,3.0,0.21,5.1,0.0,0.0,0.012,0.0,-1.3,0.025,73.0,0.012,328.0,8.9
29382,3.0,0.24,10.5,0.0,0.001,0.023,0.0,-3.7,0.007,72.0,0.024,290.0,11.5
29381,3.0,0.31,5.4,2.1,0.001,0.025,0.0,-1.4,0.01,75.2,0.027,332.0,8.7
29379,3.0,0.23,8.7,0.0,0.001,0.024,0.0,-4.1,0.006,72.7,0.025,295.0,11.2
29378,3.0,0.32,8.2,2.1,0.002,0.031,0.0,-2.5,0.002,82.6,0.033,16.0,1.8
29375,3.0,0.33,11.3,2.1,0.008,0.031,0.0,-3.2,0.0,91.7,0.039,108.0,1.7
29376,3.0,0.22,10.0,0.0,0.011,0.03,0.0,-4.4,0.001,74.0,0.041,311.0,7.2
29373,3.0,0.0,13.5,0.0,0.0,0.0,0.0,-4.5,0.0,74.9,0.0,308.0,7.7
29372,3.0,0.0,14.0,0.0,0.0,0.0,0.0,-3.2,0.0,98.0,0.0,347.0,3.3
29370,3.0,0.21,15.0,0.0,0.001,0.029,0.0,-3.6,0.004,71.3,0.03,308.0,7.3
29369,3.0,0.33,7.4,2.2,0.014,0.033,0.0,-2.7,0.002,99.9,0.047,84.0,1.5
29366,3.0,0.29,1.9,2.2,0.001,0.021,0.0,-1.7,0.016,86.1,0.021,360.0,0.9
29367,3.0,0.19,14.2,0.0,0.0,0.024,0.0,-2.7,0.01,68.7,0.024,306.0,8.3
